eventID,occurrenceID,basisOfRecord,recordedBy,individualCount,lifeStage,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,taxonRank,type,ownerInstitutionCode
2013-MOREY-1,2013-MOREY-1-SA,HumanObservation,,1,SubAdult,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2012-MCCONNELL-1,2012-MCCONNELL-1-Ad,HumanObservation,Eric,2,Adult,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2015-PENSIONER-1,2015-PENSIONER-1-Ch,HumanObservation,,2,Chick,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2020-MUD (HYDEPK)-1,2020-MUD (HYDEPK)-1-Ad,HumanObservation,,1,Adult,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2015-COLCHESTER-1,2015-COLCHESTER-1-00,HumanObservation,,0,,Absent,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2020-BRANCH-1,2020-BRANCH-1-Ch,HumanObservation,,1,Chick,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2021-BOURN-1,2021-BOURN-1-Ad,HumanObservation,,2,Adult,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2016-HOWE-1,2016-HOWE-1-00,HumanObservation,,0,,Absent,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2019-HARDWICK-1,2019-HARDWICK-1-Ad,HumanObservation,,2,Adult,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2019-TICKLENAKED-1,2019-TICKLENAKED-1-Ch,HumanObservation,,1,Chick,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2017-SHELBURNE-1,2017-SHELBURNE-1-00,HumanObservation,,0,,Absent,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
2020-CHITTENDEN-1,2020-CHITTENDEN-1-Ad,HumanObservation,,3,Adult,Present,Gavia immer,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Species,Event,VCE
